game,release_date,price,metascore,owners,avg_playtime,median_playtime,developers,publishers,trending
Car Soccer World Cup,2019-08-01,2.99,NA,"0 .. 20,000",0,0,DitzelGames,Daniel Erdmann,NA
The Black Widow,2019-08-01,5.99,NA,"0 .. 20,000",0,0,Flux,Flux,NA
MIND SWITCH,2019-08-01,0.99,NA,"0 .. 20,000",0,0,Mücahit Nas,Mücahit Nas,NA
Flex - Figure Reference,2019-08-01,7.99,NA,"0 .. 20,000",0,0,The Dada Factory,The Dada Factory,NA
Hentai Ninja Garden,2019-08-01,2.99,NA,"0 .. 20,000",0,0,Ero Team Triangle,Ero Team Triangle,NA
More and More,2019-08-01,1.49,NA,"0 .. 20,000",0,0,Project_lelz,Project_lelz,NA
Jupiter Hell,2019-08-01,19.99,NA,"0 .. 20,000",0,0,ChaosForge,ChaosForge,NA
Tailypo: The Game,2019-08-01,9.99,NA,"0 .. 20,000",0,0,Lore Games,Lore Games,NA
戰靈天使,2019-07-31,0,NA,"0 .. 20,000",0,0,Alphagame,Alphagame,NA
Road Rage Royale,2019-07-31,17.99,NA,"0 .. 20,000",0,0,Neural Oscillations Games,Neural Oscillations Games,NA
Mini Tekton,2019-07-31,11.99,NA,"0 .. 20,000",0,0,Metohian,Metohian,NA
Rumia in the darkness,2019-07-31,0.99,NA,"0 .. 20,000",0,0,Dark Sky Empire,Dark Sky Empire,NA
Resistance is Fruitile,2019-07-31,6.99,NA,"0 .. 20,000",0,0,PhasePixel,PhasePixel,NA
Pilot Sports,2019-07-31,15.99,NA,"0 .. 20,000",0,0,Z-Software,Z-Software GmbH,NA
Sniper Commando Attack,2019-07-31,0.49,NA,"0 .. 20,000",0,0,FreezeNova,FreezeNova,NA
Visitor2 / 来访者2,2019-07-31,6.99,NA,"0 .. 20,000",0,0,Zhongce Games,Zhongce Games,NA
Doughlings: Invasion,2019-07-31,6.99,NA,"0 .. 20,000",0,0,Hero Concept,Hero Concept,NA
Gravityball,2019-07-31,4.99,NA,"0 .. 20,000",0,0,Singularity Game Studios,Singularity Game Studios,NA
Dating Life: Miley X Emily,2019-07-31,2.79,NA,"0 .. 20,000",0,0,Dharker Studio,Dharker Studio,NA
Escargot,2019-07-31,8.99,NA,"0 .. 20,000",0,0,Sean Moulder,Sean Moulder,NA
MIGHTY GUNVOLT BURST,2019-07-31,6.99,NA,"0 .. 20,000",0,0,"INTI CREATES CO., LTD.","INTI CREATES CO., LTD.",NA
Easy hentai puzzle,2019-07-31,0.99,NA,"0 .. 20,000",0,0,Laush Dmitriy Sergeevich,Laush Studio,NA
Crystal Defense,2019-07-31,6.69,NA,"0 .. 20,000",0,0,Torni Games,Torni Games,NA
Pumpkin Days,2019-07-31,14.99,NA,"0 .. 20,000",0,0,Pumpkin Interactive,Pumpkin Interactive,NA
Hamsterdam,2019-07-31,3.99,NA,"0 .. 20,000",0,0,Muse Games,Muse Games,NA
Artifact Adventure Gaiden DX,2019-07-31,7.99,NA,"0 .. 20,000",0,0,bluffman,"PLAYISM, Gamera Game",NA
Tanks Endeavor,2019-07-31,4.99,NA,"0 .. 20,000",0,0,Josiah Christiansen,Josiah Christiansen,NA
Streamer's Life,2019-07-31,6.49,NA,"0 .. 20,000",0,0,Just Making Games,Just Making Games,NA
Crystal Crisis,2019-07-31,14.99,NA,"0 .. 20,000",0,0,"Nicalis, Inc.","Nicalis, Inc.",NA
London Detective Mysteria,2019-07-31,17.99,NA,"0 .. 20,000",0,0,Karin Entertainment,"XSEED Games, Marvelous USA, Inc.",NA
Copperbell,2019-07-31,9.99,NA,"0 .. 20,000",0,0,Zero Fun,Zero Fun,NA
Hidden Fears (Moonlight Edition),2019-07-31,2.99,NA,"0 .. 20,000",0,0,Rosen Studio,HH-Games,NA
Bear With Me: The Lost Robots,2019-07-31,2.49,NA,"0 .. 20,000",0,0,Exordium Games,Modus Games,NA
Chasing Nebula,2019-07-31,2.99,NA,"0 .. 20,000",0,0,Stacra,Stacra,NA
Seraphims of Astraeus,2019-07-31,NA,NA,"0 .. 20,000",0,0,Alpha Virus Games,Alpha Virus Games,NA
Axis & Allies 1942 Online,2019-07-31,19.99,NA,"20,000 .. 50,000",0,0,Beamdog,Beamdog,NA
HVAC Simulator,2019-07-31,8.49,NA,"0 .. 20,000",0,0,InsanityGameStudios,InsanityGameStudios,NA
变量 Variables,2019-07-31,11.24,NA,"20,000 .. 50,000",0,0,Asteroid Game Studio,Asteroid Game Studio,NA
Polyrun,2019-07-31,1.49,NA,"0 .. 20,000",0,0,Aurora Gameworks,Aurora Gameworks,NA
Layers Of The Machine,2019-07-31,8.99,NA,"0 .. 20,000",0,0,Dragobyte UG,Dragobyte UG,NA
A Short Hike,2019-07-30,7.19,77,"20,000 .. 50,000",0,0,adamgryu,adamgryu,NA
Morphies Law: Remorphed,2019-07-30,3.99,NA,"0 .. 20,000",0,0,Cosmoscope GmbH,Cosmoscope GmbH,NA
Witch College,2019-07-30,3.49,NA,"0 .. 20,000",0,0,Kavorka play,Kavorka play,NA
Atmocity,2019-07-30,10.79,NA,"0 .. 20,000",0,0,Correcture Games AB,Correcture Games AB,NA
Room 40,2019-07-30,0,NA,"0 .. 20,000",0,0,Silhouette Valley Games,Silhouette Valley Games,NA
Harvested,2019-07-30,14.99,NA,"0 .. 20,000",0,0,Vashta Entertainment,Vashta Entertainment,NA
CENTRALIA,2019-07-30,3.14,NA,"0 .. 20,000",0,0,indie_games_studio,indie_games_studio,NA
Rolly's Adventure,2019-07-30,2.99,NA,"0 .. 20,000",0,0,"Matthew, Gareth, Jackson, Ben",No Clue video Games,NA
You Don't Have Time,2019-07-30,1.99,NA,"0 .. 20,000",0,0,White Puppet Studio,White Puppet Studio,NA
Stop it - Driving Simulation,2019-07-30,9.99,NA,"0 .. 20,000",0,0,Next2VR,Next2VR,NA
Everyone Goes Home,2019-07-30,3.99,NA,"0 .. 20,000",0,0,IndieNorthSix,IndieNorthSix,NA
Guns Color Pixel Art,2019-07-30,0.49,NA,"0 .. 20,000",0,0,Pixel Art Monster - Color by Number,Pixel Art Monster - Color by Number,NA
The Five Cores Remastered,2019-07-30,24.99,NA,"0 .. 20,000",0,0,Matthieu Gouby,Matthieu Gouby,NA
不死/IMMORTAL,2019-07-30,0,NA,"0 .. 20,000",0,0,JW,JW,NA
Triangulum,2019-07-30,4.99,NA,"0 .. 20,000",0,0,N5 Games,N5 Games,NA
Hentai Shojo,2019-07-30,0.59,NA,"0 .. 20,000",0,0,"GentleDriver, アカノムラサキ",GentleDriver,NA
Oxygen Not Included,2019-07-30,16.74,NA,"1,000,000 .. 2,000,000",873,1099,Klei Entertainment,Klei Entertainment,Yes
Radical Gear,2019-07-30,2.69,NA,"0 .. 20,000",0,0,Miriel,Miriel,NA
THE FATE OF THE BULLY,2019-07-30,1.99,NA,"0 .. 20,000",0,0,MIGALOO GAMES,MIGALOO GAMES,NA
Elo Hell,2019-07-30,0,NA,"0 .. 20,000",0,0,Exato Game Studios,Exato Game Studios,NA
BLAST-AXIS,2019-07-30,0,NA,"0 .. 20,000",0,0,MAX Softworks,MAX Softworks,NA
Cricket 19,2019-07-30,44.99,NA,"0 .. 20,000",0,0,Big Ant Studios,Big Ant Studios,NA
Anticorps VR,2019-07-30,7.79,NA,"0 .. 20,000",0,0,Development Unreal Creative,Development Unreal Creative,NA
Cardaria,2019-07-30,0,NA,"0 .. 20,000",0,0,TripleSky,TripleSky,NA
Codex Temondera: Lost Vision,2019-07-30,3.74,NA,"0 .. 20,000",0,0,Quacksalver Frame,Quacksalver Frame,NA
Pirouette,2019-07-30,0.49,NA,"0 .. 20,000",0,0,Pirouette,Pirouette,NA
Hentai Inumimi,2019-07-30,0.59,NA,"0 .. 20,000",0,0,"GentleDriver, 柴まろん",GentleDriver,NA
"Warhammer 40,000: Inquisitor - Prophecy",2019-07-30,16.74,NA,"20,000 .. 50,000",0,0,NeocoreGames,NeocoreGames,NA
Counterspell,2019-07-30,11.87,NA,"0 .. 20,000",0,0,PunchButton Studios,PunchButton Studios,NA
Raiders of the North Sea,2019-07-30,14.99,NA,"0 .. 20,000",0,0,Dire Wolf,Dire Wolf,NA
G.A.M.E.S,2019-07-30,1.99,NA,"0 .. 20,000",0,0,RoomsForRockets,RoomsForRockets,NA
Corpse Killer - 25th Anniversary Edition,2019-07-30,3.74,NA,"0 .. 20,000",0,0,Screaming Villains,Screaming Villains,NA
Lorenzo il Magnifico,2019-07-30,14.99,NA,"0 .. 20,000",0,0,Studio Clangore,Cranio Creations Digital,NA
Cryptographer,2019-07-30,7.99,NA,"0 .. 20,000",0,0,Firebelley,Firebelley,NA
Towertale,2019-07-30,5.99,NA,"0 .. 20,000",0,0,MiSou Games,MiSou Games,NA
Hentai Arena | Battle Royale,2019-07-30,0.49,NA,"20,000 .. 50,000",0,0,LoveAnime,AmagSwag Games,NA
Merchant of the Skies,2019-07-30,7.99,NA,"0 .. 20,000",0,0,Coldwild Games,Coldwild Games,NA
Dream Keeper,2019-07-30,2.99,NA,"0 .. 20,000",0,0,"Dern Lin, Dergan Lin",DDLin,NA
Square Head Zombies 2 - FPS Game,2019-07-30,0.99,NA,"0 .. 20,000",0,0,Fabio Cunha,Fabio Cunha,NA
ChatAid,2019-07-30,NA,NA,"0 .. 20,000",0,0,Mia Blais-Côté,Mia Blais-Côté,NA
CUSTOM ORDER MAID 3D2 It's a Night Magic,2019-07-30,40,NA,"20,000 .. 50,000",0,0,KISS,S-court,NA
Run Jump Rabbit Turtle,2019-07-29,1.24,NA,"0 .. 20,000",0,0,Badwrong Games LLC,Badwrong Games LLC,NA
The Designer's Curse,2019-07-29,0,NA,"50,000 .. 100,000",0,0,CBGames,CBGames,NA
Hentai Mosaique Fix-IT Shoppe,2019-07-29,2.99,NA,"0 .. 20,000",0,0,Lil Hentai Games,Lil Hentai Games,NA
Code/The Werewolf Party,2019-07-29,0,NA,"0 .. 20,000",0,0,WAO Studio,WAO Studio,NA
香山31号,2019-07-29,3.99,NA,"0 .. 20,000",0,0,QZQ Studio,"H.P.Y.S,LLC",NA
Pictures of Life,2019-07-29,3.99,NA,"0 .. 20,000",0,0,Bull & Ram,Bull & Ram,NA
武道戰姬 - 女僕(武道戦姫 - メイド / Budo Girl War - Maid),2019-07-29,3.99,NA,"0 .. 20,000",0,0,武道戰姬製作委員會,武道戰姬製作委員會,NA
Last Knight,2019-07-29,0.49,NA,"0 .. 20,000",0,0,Enoops,Enoops,NA
Warman,2019-07-29,14.99,NA,"0 .. 20,000",0,0,Oleg Dammer,Oleg Dammer,NA
Our Children - Escaping Earth,2019-07-29,4.99,NA,"0 .. 20,000",0,0,NonyDev,NonyDev,NA
Kra-Ken,2019-07-29,0,NA,"0 .. 20,000",0,0,DGTL Dojo,Breda University of Applied Sciences,NA
Robot Female Hero 2,2019-07-29,7.99,NA,"0 .. 20,000",0,0,Rocket Tech,Rocket Tech,NA
DHARMA: THE SWAN,2019-07-29,5.84,NA,"0 .. 20,000",0,0,Star Legion,Star Legion,NA
Image of Perfection,2019-07-29,4.99,NA,"0 .. 20,000",0,0,Crystal Game Works,Crystal Game Works,NA
Tricky Cow,2019-07-29,1.19,NA,"0 .. 20,000",0,0,Tuwi Michael Nannings,NanningsGames,NA
Kakuro,2019-07-29,0.49,NA,"0 .. 20,000",0,0,screwyman,screwyman,NA
Violet rE:-The Final reExistence-,2019-07-29,2.79,NA,"0 .. 20,000",0,0,Hollowings,Hollowings,NA
Inner,2019-07-29,0.99,NA,"0 .. 20,000",0,0,DarkStone Digital,DarkStone Digital,NA
Don't Escape Trilogy,2019-07-29,3.99,NA,"0 .. 20,000",0,0,scriptwelder,Armor Games Studios,NA
STRASHILKA,2019-07-29,0.49,NA,"0 .. 20,000",0,0,reqtion,reqtion,NA
Kindergarten 2,2019-07-29,11.99,NA,"20,000 .. 50,000",0,0,"Con Man Games, SmashGames",SmashGames,NA
Baldina's Basis in Education Literary Grammar,2019-07-29,6.99,NA,"0 .. 20,000",0,0,Kourov Vyacheslav,Kourov Vyacheslav,NA
ExoTanks,2019-07-29,1.79,NA,"0 .. 20,000",0,0,Digital Universe,Digital Universe,NA
Lunch A Palooza,2019-07-29,6.49,NA,"0 .. 20,000",0,0,Seashell Studio,Alternative Software Ltd,NA
在这个世界的尽头，你与我被遗忘的传说,2019-07-29,0.79,NA,"0 .. 20,000",0,0,奈特洛德（Nightload）,奈特洛德（Nightload）,NA
Deathless Dungeon,2019-07-29,3.29,NA,"0 .. 20,000",0,0,Ember Works,Ember Works,NA
ROAD HOMEWARD 3 underwater world,2019-07-29,0.79,NA,"0 .. 20,000",0,0,OFF1C1AL,OFF1C1AL,NA
The Blackout Club,2019-07-29,20.99,NA,"50,000 .. 100,000",0,0,Question,Question,NA
Mini Tone - Minimalist Puzzle,2019-07-29,0.59,NA,"0 .. 20,000",0,0,Mens Sana Interactive,Mens Sana Interactive,NA
HorrorVale,2019-07-28,0,NA,"0 .. 20,000",0,0,BatWorks Software,BatWorks Software,NA
Cockatrice Attacking the city,2019-07-28,13.99,NA,"0 .. 20,000",0,0,chu qingfang,chu qingfang,NA
The Tales of Epicton Kingdom,2019-07-28,2.67,NA,"0 .. 20,000",0,0,Common Visual Entertainment,Common Visual Entertainment,NA
FadeZone 消逝之地,2019-07-28,0,NA,"0 .. 20,000",0,0,"ZeroXilo, CasketCheese",ZeroXilo,NA
The Shattered Blade,2019-07-28,3.99,NA,"0 .. 20,000",0,0,Young Studio,Young Studio,NA
Hyacinthus,2019-07-28,0,NA,"0 .. 20,000",0,0,朽木布可凋夜,JingtuStudio,NA
Endless Defence 2,2019-07-27,1.99,NA,"0 .. 20,000",0,0,Anthony Wu,SOUP STUDIOS,NA
MPaliens,2019-07-27,1.19,NA,"0 .. 20,000",0,0,Skull Box Games,Skull Box Games,NA
Squad Erotica,2019-07-27,7.99,NA,"0 .. 20,000",0,0,Aaron Dodo,Aaron Dodo,NA
C64 & AMIGA Classix Remakes Sixpack 3,2019-07-27,7.19,NA,"0 .. 20,000",0,0,magnussoft,magnussoft,NA
四景山水圖．秋景 Landscapes of the Four Seasons,2019-07-27,0,NA,"0 .. 20,000",0,0,Chen Si-Yu,Chen Si-Yu,NA
Umbraseal,2019-07-27,1.49,NA,"0 .. 20,000",0,0,NekoSithSoft,NekoSithSoft,NA
WBTR - Welcome Back To Reality,2019-07-27,13.99,NA,"0 .. 20,000",0,0,"Ma_rv, flipdp",IGTgames,NA
我是渣男-Dishonest,2019-07-27,0,NA,"0 .. 20,000",0,0,窗外紫藤制作组,窗外紫藤制作组,NA
Alien Kingdom,2019-07-26,5.99,NA,"0 .. 20,000",0,0,Leafe Games,Leafe Games,NA
Tsukikage no Simulacre:Kaihou no Hane,2019-07-26,9.11,NA,"0 .. 20,000",0,0,Applique,HIKARI FIELD,NA
WhiteBird 白鸟,2019-07-26,7.99,NA,"0 .. 20,000",0,0,SDJdasha,SDJdasha,NA
The Witch's Love Diary,2019-07-26,25.49,NA,"0 .. 20,000",0,0,Qoobrand,Sekai Project,NA
Rainbow Jigsaw 彩虹拼图,2019-07-26,0.99,NA,"0 .. 20,000",0,0,loveheshang,loveheshang,NA
The Last Roman Village,2019-07-26,5.99,NA,"0 .. 20,000",0,0,Twin Stone Studio,Twin Stone Studio,NA
Robot terminator,2019-07-26,0.99,NA,"0 .. 20,000",0,0,tina,tina,NA
SurvivalZ,2019-07-26,0.49,NA,"0 .. 20,000",0,0,KicklessGame,RewindApp,NA
Indie Dream,2019-07-26,0.99,NA,"0 .. 20,000",0,0,Lorb Lu,Lorb Lu,NA
Kanji in Motion,2019-07-26,6.99,NA,"0 .. 20,000",0,0,Yannik Lobsensky,Yannik Lobsensky,NA
Tetsumo Party,2019-07-26,3.34,NA,"0 .. 20,000",0,0,Monster Couch,Monster Couch,NA
Scribble It!,2019-07-26,4.79,NA,"0 .. 20,000",0,0,Detach Entertainment,Detach Entertainment,NA
Bandits,2019-07-26,5.49,NA,"0 .. 20,000",0,0,Benerot,Benerot,NA
Post Soviet Zombies,2019-07-26,1.19,NA,"0 .. 20,000",0,0,Ascension Studio,Ascension Studio,NA
Plagueworld,2019-07-26,0,NA,"0 .. 20,000",0,0,Free Initiative Games,Free Initiative Games,NA
Mirador,2019-07-26,11.24,NA,"0 .. 20,000",0,0,Sauropod Studio,Sauropod Studio,NA
Dark Bestiary,2019-07-26,5.99,NA,"0 .. 20,000",0,0,Qd,Qd,NA
Pentagonal Saloon,2019-07-26,0.49,NA,"0 .. 20,000",0,0,BERARTS LTD.,BERARTS LTD.,NA
Shark Attack Deathmatch 2,2019-07-26,1.99,NA,"100,000 .. 200,000",39,13,Lighthouse Games Studio,Lighthouse Games Studio,NA
The Lattice Grimoire,2019-07-26,9.99,NA,"0 .. 20,000",0,0,Sat-Yuga Studios,Sat-Yuga Studios,NA
0Gravity,2019-07-26,7.99,NA,"0 .. 20,000",0,0,Viktor Kunshin,KvaKoon Team,NA
Fortune Telling,2019-07-26,0.99,NA,"0 .. 20,000",0,0,GreanGame,GreanGame,NA
Clickable Coffee Shop,2019-07-26,0.99,NA,"0 .. 20,000",0,0,aaror874 (Ajay Arora),aaror874 (Ajay Arora),NA
Dark Tales: Edgar Allan Poe's Ligeia Collector's Edition,2019-07-26,5.59,NA,"0 .. 20,000",0,0,AMAX Interactive,Big Fish,NA
老板攻略,2019-07-26,3.99,NA,"0 .. 20,000",0,0,空谷游戏,空谷游戏,NA
Once Upon A Death,2019-07-26,2.49,NA,"0 .. 20,000",0,0,Gamenesis,Gamenesis,NA
Real Girl VR,2019-07-26,11.99,NA,"0 .. 20,000",0,0,Real Girl VR,Real Girl VR,NA
Orionide: Prologue,2019-07-26,6.99,NA,"0 .. 20,000",0,0,Orionide,Orionide,NA
Storm Tale,2019-07-26,5.49,NA,"0 .. 20,000",0,0,Green Sauce Games,Green Sauce Games,NA
Soulscape,2019-07-26,0,NA,"0 .. 20,000",0,0,Samu,Samu,NA
Dead Hand,2019-07-26,18.74,NA,"0 .. 20,000",0,0,One Man Army Games,One Man Army Games,NA
ZomB: Battlegrounds,2019-07-26,0.49,NA,"0 .. 20,000",0,0,Destruction Games,Destruction Games,NA
Last Line VR: A Zombie Defense Game,2019-07-26,7.49,NA,"0 .. 20,000",0,0,Astro Quality Games,Astro Quality Games,NA
Elendia Ceus,2019-07-26,1.99,NA,"0 .. 20,000",0,0,Aldorlea Games,Aldorlea Games,NA
Tournament: Blood & Steel,2019-07-26,7.49,NA,"0 .. 20,000",0,0,Script Ocean Games,Script Ocean Games,NA
Glitch Puzzle,2019-07-26,0.49,NA,"0 .. 20,000",0,0,Diamond Cats Studio,Diamond Cats Studio,NA
Snares of Ruin 2,2019-07-26,3.49,NA,"0 .. 20,000",0,0,Astronomic Games,Astronomic Games,NA
Space raven quest - Tiny planet,2019-07-26,0.99,NA,"0 .. 20,000",0,0,Paper Pirates,Paper Pirates,NA
Knightin'+,2019-07-26,4.49,NA,"0 .. 20,000",0,0,Muzt Die Studios,Muzt Die Studios,NA
Monster Boy and the Cursed Kingdom,2019-07-25,29.99,82,"0 .. 20,000",0,0,Game Atelier,FDG Entertainment,NA
A Place for the Unwilling,2019-07-25,14.99,73,"0 .. 20,000",0,0,ALPixel Games,ALPixel Games,NA
Wolfenstein: Youngblood,2019-07-25,29.99,69,"100,000 .. 200,000",0,0,"Machine Games, Arkane Studios",Bethesda Softworks,NA
Wolfenstein: Cyberpilot,2019-07-25,19.99,54,"0 .. 20,000",0,0,"Arkane Studios, Machine Games",Bethesda Softworks,NA
PamPam Kana Students,2019-07-25,3.99,NA,"0 .. 20,000",0,0,PamPam Studio,PamPam Studio,NA
Mighty Switch Force! Collection,2019-07-25,13.99,NA,"0 .. 20,000",0,0,WayForward,WayForward,NA
SUBS: Sharks And Submarines,2019-07-25,3.99,NA,"0 .. 20,000",0,0,Tropycl Games,Tropycl Games,NA
LOVE³ -Love Cube-,2019-07-25,9.99,NA,"20,000 .. 50,000",0,0,NEKO WORK H,NEKO WORKs,NA
Tsuro - The Game of The Path,2019-07-25,7.99,NA,"0 .. 20,000",0,0,Thunderbox Entertainment,Thunderbox Entertainment,NA
1000 days to escape,2019-07-25,4.99,NA,"0 .. 20,000",0,0,Lemon Squeezy,Lemon Squeezy,NA
Anime Artist,2019-07-25,0.99,NA,"0 .. 20,000",0,0,Neoclassic Games,Neoclassic Games,NA
Acting Lessons,2019-07-25,8.99,NA,"0 .. 20,000",0,0,Dr PinkCake,Dr PinkCake,NA
Red Island,2019-07-25,1.99,NA,"0 .. 20,000",0,0,MACKINN7,MACKINN7,NA
New Frontier,2019-07-25,0,NA,"200,000 .. 500,000",0,0,Free Reign Entertainment,Free Reign Entertainment,NA
Magnetic Daydream,2019-07-25,3.99,NA,"0 .. 20,000",0,0,velkomin,velkomin,NA
Flappatron,2019-07-25,3.99,NA,"0 .. 20,000",0,0,Manning Media,Manning Media,NA
DestructoPod,2019-07-25,9.99,NA,"0 .. 20,000",0,0,Blast Code,Blast Code,NA
Art Of Air War,2019-07-25,4.99,NA,"0 .. 20,000",0,0,Jotar,DZ-Games,NA
Apollo 11 VR HD: First Steps,2019-07-25,0,NA,"0 .. 20,000",0,0,Immersive VR Education Ltd.,Immersive VR Education Ltd.,NA
Meowk and Frocco,2019-07-25,0.49,NA,"0 .. 20,000",0,0,дель7in,Red twice potato,NA
ViviEon,2019-07-25,4.99,NA,"0 .. 20,000",0,0,DISC 1,DISC 1,NA
Farrealm: The Prince of Winds,2019-07-25,19.99,NA,"0 .. 20,000",0,0,Connor William Fahrenwald,Fahrenwald Games,NA
月圆之夜 (Night of Full Moon),2019-07-25,0,NA,"100,000 .. 200,000",0,0,Giant Games,Giant Games,NA
Ancient Battle: Alexander,2019-07-25,9.99,NA,"0 .. 20,000",0,0,HexWar Games,HexWar Games,NA
WolfQuest: Anniversary Edition,2019-07-25,14.99,NA,"20,000 .. 50,000",0,0,eduweb,eduweb,NA
Songbird Symphony,2019-07-25,13.59,NA,"0 .. 20,000",0,0,Joysteak Studios,PQube Limited,NA
Tech Corp.,2019-07-25,9.99,NA,"0 .. 20,000",0,0,Mardonpol Inc.,2tainment GmbH,NA
Space Travelling within the Earth-Moon System,2019-07-25,16.99,NA,"0 .. 20,000",0,0,Thoth Technology Ltd.,Thoth Technology Ltd.,NA
HyperQ: The 4Dimensional Roguelike,2019-07-25,8.99,NA,"0 .. 20,000",0,0,ToxicBeast,ToxicBeast,NA
Chocolat Rush,2019-07-25,8.99,NA,"0 .. 20,000",0,0,Nanali Studios,Nanali Studios,NA
Expansion,2019-07-25,0.49,NA,"0 .. 20,000",0,0,Mykel Flynn,Mykel Flynn,NA
My Planet [RTS],2019-07-25,9.99,NA,"0 .. 20,000",0,0,Aurora,Aurora,NA
Legend of the Tetrarchs,2019-07-25,14.99,NA,"0 .. 20,000",0,0,"Hit-Point Co.,Ltd.",KEMCO,NA
Terminus: Survival,2019-07-25,NA,NA,"0 .. 20,000",0,0,Artifact Games,Artifact Games,NA
Interstellar Space: Genesis,2019-07-25,29.99,NA,"0 .. 20,000",0,0,Praxis Games,Praxis Games,NA
GNRBLEX,2019-07-25,0,NA,"0 .. 20,000",0,0,Whamgames,Whamgames,NA
Pew Pew Puzzle Defense,2019-07-25,0.49,NA,"0 .. 20,000",0,0,Roppy Chop Studios,Roppy Chop Studios,NA
Fantasy Strike,2019-07-25,19.79,NA,"0 .. 20,000",0,0,Sirlin Games,Sirlin Games,NA
DarkFairyTales SleepingBeauty,2019-07-25,0.99,NA,"0 .. 20,000",0,0,LeonWaan Games,LeonWaan Games,NA
Romance of the Three Kingdoms: Legend of CaoCao(Tactics),2019-07-25,0,NA,"20,000 .. 50,000",0,0,NEXON KOREA,NEXON KOREA,NA
Hellbanger,2019-07-25,4.99,NA,"0 .. 20,000",0,0,Eric Biernacki,Eric Biernacki,NA
Sort Battle: Dungeon,2019-07-25,9.99,NA,"0 .. 20,000",0,0,Incandescent Workshop LLC,Incandescent Workshop LLC,NA
Fantasy Maid,2019-07-25,0.49,NA,"0 .. 20,000",0,0,Cyber Keks,Cyber Keks,NA
Ded Inside,2019-07-25,2.99,NA,"0 .. 20,000",0,0,Oblom studio,BekkerDev Studio,NA
Soul Valley,2019-07-25,9.99,NA,"0 .. 20,000",0,0,QuickSave,QuickSave,NA
60 Seconds! Reatomized,2019-07-25,7.99,NA,"50,000 .. 100,000",14,4,Robot Gentleman,Robot Gentleman,NA
Takelings House Party,2019-07-25,16.99,NA,"0 .. 20,000",0,0,DimnHouse,DimnHouse,NA
Japocaliptyca/ Япокалиптика,2019-07-25,0.99,NA,"0 .. 20,000",0,0,azimut team,azimut team,NA
《鬼畜战记：金坷垃传说》,2019-07-25,0,NA,"0 .. 20,000",0,0,小闲,小闲,NA
Turok: Escape from Lost Valley,2019-07-25,14.99,NA,"0 .. 20,000",0,0,Pillow Pig Games,Universal Studios Interactive Entertainment LLC,NA
Realmstone,2019-07-25,11.24,NA,"0 .. 20,000",0,0,Ravendeer,Ravendeer,NA
Click Space Miner 2,2019-07-25,0,NA,"0 .. 20,000",0,0,PIxelssoftworks,PIxelssoftworks,NA
Agent Of Love,2019-07-25,0,NA,"0 .. 20,000",0,0,Delusional Inc,Delusional Inc,NA
Babylonia,2019-07-25,2.99,NA,"0 .. 20,000",0,0,Mad Data,HH-Games,NA
No-brainer Heroes 挂机吧！勇者,2019-07-25,8.99,NA,"0 .. 20,000",0,0,OnigiriStudio,OnigiriStudio,NA
KILL la KILL -IF,2019-07-25,39.99,NA,"0 .. 20,000",0,0,"Arc System Works, APLUS Co., Ltd.",Arc System Works,NA
The Man with the Ivory Cane,2019-07-25,3.99,NA,"0 .. 20,000",0,0,Cateia Games,Big Fish Games,NA
The Backrooms Game FREE Edition,2019-07-25,0,NA,"50,000 .. 100,000",0,0,Pie On A Plate Productions,Pie On A Plate Productions,NA
Outpost Zero,2019-07-25,9.99,NA,"20,000 .. 50,000",0,0,Symmetric Games,tinyBuild,NA
Truecolors,2019-07-25,4.89,NA,"0 .. 20,000",0,0,Team Newtype,Team Newtype,NA
Uh Oh Bartender,2019-07-25,3.99,NA,"0 .. 20,000",0,0,Whoah! Games,Whoah! Games,NA
Heroes of Myth,2019-07-25,4.89,NA,"0 .. 20,000",0,0,Choice of Games,Choice of Games,NA
Balloon Girl,2019-07-25,5.99,NA,"0 .. 20,000",0,0,Nerdvision Games,Nerdvision Games,NA
Iratus: Lord of the Dead,2019-07-24,24.99,NA,"20,000 .. 50,000",0,0,Unfrozen,Daedalic Entertainment,NA
VEmpire - The Kings of Darkness,2019-07-24,13.99,NA,"0 .. 20,000",0,0,Wolfgang Lueger,Vempire Entertainment,NA
伊勢志摩ミステリー案内 偽りの黒真珠,2019-07-24,9.99,NA,"0 .. 20,000",0,0,"Happymeal Inc., ESQUADRA,inc.",Flyhigh Works,NA
Bad Business,2019-07-24,0.87,NA,"0 .. 20,000",0,0,"Hut 90, Inc.","Hut 90, Inc.",NA
Break my body,2019-07-24,2.99,NA,"0 .. 20,000",0,0,Stephane Valverde,Agent Mega,NA
HANGMAN,2019-07-24,0.99,NA,"0 .. 20,000",0,0,Useless Studio,Useless Studio,NA
Mr Husky,2019-07-24,1.99,NA,"0 .. 20,000",0,0,Heero,SakuraGame,NA
Hurricane chase(飓风追击),2019-07-24,2.99,NA,"0 .. 20,000",0,0,2AM(熬夜工作室),2AM(熬夜工作室),NA
Tractage aux Portes 2: Mob à la Cafétéria,2019-07-24,4.99,NA,"0 .. 20,000",0,0,ABC d'la Mob,ABC d'la Mob,NA
AppGameKit Studio,2019-07-24,74.99,NA,"0 .. 20,000",0,0,TheGameCreators,TheGameCreators,NA
