"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"114","The Ship: Single Player","Nov 20, 2006","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Outerlight Ltd.","Blazing Griffin Ltd."
"96","Total War: MEDIEVAL II – Definitive Edition","Nov 15, 2006","$6.24","N/A (N/A)","2,000,000 .. 5,000,000","03:19 (01:06)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"56","Heroes of Might & Magic V: Hammers of Fate","Nov 14, 2006","$9.99","N/A (N/A/66%)","50,000 .. 100,000","00:00 (00:00)","Nival","Ubisoft"
"17","RoboBlitz","Nov 7, 2006","$9.99","N/A (N/A/80%)","20,000 .. 50,000","00:00 (00:00)","Naked Sky Entertainment","Naked Sky Entertainment"
"99","Geneforge 4: Rebellion","Nov 1, 2006","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Spiderweb Software","Spiderweb Software"
"76","3D ParticleGen Visual FX","Oct 27, 2006","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Reality Pump","TopWare Interactive"
"15","RollerCoaster Tycoon 3: Platinum","Oct 26, 2006","N/A","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","Frontier, Aspyr (Mac)","Atari, Aspyr (Mac)"
"37","Dark Messiah of Might & Magic","Oct 25, 2006","$9.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","Arkane Studios","Ubisoft"
"111","Sam & Max 101: Culture Shock","Oct 17, 2006","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Telltale Games","Telltale Games"
"23","Sid Meier's Railroads!","Oct 16, 2006","$9.99","N/A (N/A/77%)","500,000 .. 1,000,000","00:00 (00:00)","Firaxis Games, Feral Interactive (Mac)","2K, Feral Interactive (Mac)"
